LatC,LonC,country,pop
48.75,12.75,DE,243133.368408203
50.25,12.75,DE,221299.128025055
50.75,12.75,DE,618124.128234863
51.25,12.75,DE,258921.229370117
51.75,12.75,DE,117111.385223389
52.25,12.75,DE,205563.384124756
52.75,12.75,DE,92793.4147491455
53.25,12.75,DE,54550.8068925142
53.75,12.75,DE,68189.9020462036
54.25,12.75,DE,51873.8411620259
50.75,13.25,DE,275070.71295166
51.25,13.25,DE,218037.963134766
51.75,13.25,DE,71343.0813751221
52.25,13.25,DE,1347161.19723511
52.75,13.25,DE,1588784.61340332
53.25,13.25,DE,64192.6012878418
53.75,13.25,DE,110497.719787598
50.75,13.75,DE,414883.51902771
51.25,13.75,DE,731417.12890625
51.75,13.75,DE,108028.770812988
52.25,13.75,DE,825013.058578491
52.75,13.75,DE,536918.477050781
53.25,13.75,DE,53593.691696167
53.75,13.75,DE,62410.0609169006
51.25,14.25,DE,241277.524459839
51.75,14.25,DE,185912.014907837
52.25,14.25,DE,111279.563720703
55.25,7.75,DK,10
55.75,7.75,DK,10
56.25,7.75,DK,10
56.75,7.75,DK,10
54.75,8.25,DK,20802.221606642
55.25,8.25,DK,46228.5508057158
55.75,8.25,DK,66155.2496952415
56.25,8.25,DK,37679.0510608181
56.75,8.25,DK,27528.9565671384
54.75,8.75,DK,68786.3403514083
55.25,8.75,DK,64808.4953841269
55.75,8.75,DK,72726.4842453003
56.25,8.75,DK,146148.094322205
56.75,8.75,DK,70864.9992618561
54.75,9.25,DK,195540.424224854
55.25,9.25,DK,160288.978469849
55.75,9.25,DK,102777.110687256
56.25,9.25,DK,137394.855449677
56.75,9.25,DK,70645.4866394997
57.25,9.25,DK,12143.5905878544
54.75,9.75,DK,175142.336727798
55.25,9.75,DK,76908.8615330206
55.75,9.75,DK,278924.480470657
56.25,9.75,DK,186825.985122681
56.75,9.75,DK,103005.002502441
57.25,9.75,DK,205989.460647702
54.75,10.25,DK,10378.7432054933
55.25,10.25,DK,290110.054297924
55.75,10.25,DK,44923.4213560373
56.25,10.25,DK,479514.493129849
56.75,10.25,DK,48758.9314986123
57.25,10.25,DK,99446.7438812256
54.25,10.75,DK,121429.840166092
54.75,10.75,DK,13076.3315013945
55.25,10.75,DK,128260.64594692
55.75,10.75,DK,6280.38698357344
56.25,10.75,DK,45697.7123923302
54.25,11.25,DK,21867.193559289
54.75,11.25,DK,39365.0957044363
55.25,11.25,DK,81574.4950101972
55.75,11.25,DK,74857.4494979978
54.25,11.75,DK,47566.2778345067
54.75,11.75,DK,64270.1807115078
55.25,11.75,DK,174529.609619737
55.75,11.75,DK,151091.537960529
54.75,12.25,DK,15227.9061780828
55.25,12.25,DK,103428.202876091
55.75,12.25,DK,962515.153144836
54.75,14.25,DK,10
55.25,14.25,DK,7225.05168914795
54.75,14.75,DK,10
55.25,14.75,DK,30695.7650148571
47.75,-4.75,FR,10.4608535766602
48.25,-4.75,FR,151043.541812092
47.75,-4.25,FR,126964.412502408
48.25,-4.25,FR,292706.879346848
47.25,-3.75,FR,10
47.75,-3.75,FR,110699.49686271
48.25,-3.75,FR,82873.0431671143
48.75,-3.75,FR,99034.4418922663
47.25,-3.25,FR,10215.4759732187
47.75,-3.25,FR,299999.935235739
48.25,-3.25,FR,60160.3898773193
48.75,-3.25,FR,155256.522602558
47.25,-2.75,FR,9207.11064594984
47.75,-2.75,FR,289362.687009811
48.25,-2.75,FR,175542.823745728
46.25,-2.25,FR,10
46.75,-2.25,FR,35986.03674528
47.25,-2.25,FR,296770.429580867
47.75,-2.25,FR,171361.890777588
48.25,-2.25,FR,143518.175415039
43.25,-1.75,FR,463164.659236908
43.75,-1.75,FR,14386.5028877258
44.25,-1.75,FR,10
46.25,-1.75,FR,32330.1451320648
46.75,-1.75,FR,247315.184267133
47.25,-1.75,FR,721517.266174316
47.75,-1.75,FR,169297.717712402
48.25,-1.75,FR,598460.978790283
48.75,-1.75,FR,140581.930969238
49.25,-1.75,FR,52731.4740581512
42.75,-1.25,FR,21386.2475366592
43.25,-1.25,FR,139982.116117477
43.75,-1.25,FR,219830.198036194
44.25,-1.25,FR,49084.7612880506
44.75,-1.25,FR,111972.319432161
45.25,-1.25,FR,20085.004368782
45.75,-1.25,FR,104991.473561153
46.25,-1.25,FR,246487.372860193
46.75,-1.25,FR,258089.547119141
47.25,-1.25,FR,383265.287658691
47.75,-1.25,FR,114390.094970703
48.25,-1.25,FR,202194.186676025
48.75,-1.25,FR,127791.84072876
49.25,-1.25,FR,136735.361054778
42.75,-0.75,FR,15238.657702446
43.25,-0.75,FR,106892.429487228
43.75,-0.75,FR,128336.390426636
44.25,-0.75,FR,35371.2214851379
44.75,-0.75,FR,903478.438049316
45.25,-0.75,FR,121520.25246954
45.75,-0.75,FR,226906.082489014
46.25,-0.75,FR,176589.457733154
46.75,-0.75,FR,146357.841491699
47.25,-0.75,FR,373868.447937012
47.75,-0.75,FR,179464.263641357
48.25,-0.75,FR,192354.205993652
48.75,-0.75,FR,124161.432312012
49.25,-0.75,FR,120047.30078125
42.75,-0.25,FR,23578.6485853195
43.25,-0.25,FR,316351.421348572
43.75,-0.25,FR,96459.1552047729
44.25,-0.25,FR,37085.3449382782
44.75,-0.25,FR,335943.966918945
45.25,-0.25,FR,140988.293388367
45.75,-0.25,FR,121151.981521606
46.25,-0.25,FR,177696.185646057
